python,excel,hadoop,spark,aws,tableau,big_data,Company Age,Rating_Scaled,Salary_Estimate_Min_Scaled,Salary_Estimate_Max_Scaled,Founded_Normalized,Size_Min_Normalized,Size_Max_Normalized,Revenue_Min_Normalized,Revenue_Max_Normalized,Job_Title_encoded,Salary_Estimate_encoded,Job_Description_encoded,Company_Name_encoded,Location_encoded,Headquarters_encoded,Size_encoded,Type_of_ownership_encoded,Industry_encoded,Sector_encoded,Revenue_encoded,second_part_encoded,Salary_Estimate_Adjusted_encoded,Size_Adjusted_encoded,Revenue_Adjusted_encoded,Rating_Discretized_encoded,Job_Title_Adjusted_encoded
0,0,0,0,1,0,0,30.0,-0.9772909967845658,1.069767441860465,0.8260869565217391,-0.28008627993101426,0.5105920190080067,0.9613414204506701,-0.009681047683446194,-0.014398756750137484,155,7,136,170,55,141,2,6,30,12,4,9,7,2,4,2,11
0,0,1,0,0,0,0,55.0,0.3977090032154347,1.069767441860465,0.8260869565217391,-1.1639091861741893,1.2625023047102046,1.3324585631576666,2.0497975206655346,1.8581598184932973,49,7,391,231,18,88,4,2,42,4,0,4,7,4,0,3,5
1,0,0,0,1,0,0,42.0,-0.10229099678456591,1.069767441860465,0.8260869565217391,-0.7679536558907842,0.5105920190080067,0.9613414204506701,-0.009681047683446194,-0.014398756750137484,49,7,317,26,13,27,2,8,11,4,4,9,7,2,4,2,5
0,0,0,0,0,0,0,23.0,-0.47729099678456577,1.069767441860465,0.8260869565217391,0.07334387229236966,0.21164650619442762,0.08815978331154549,-0.009681047683446194,-0.014398756750137484,49,7,197,181,55,14,5,2,15,13,4,9,7,5,4,2,5
1,0,0,0,0,0,0,25.0,-1.227290996784566,1.069767441860465,0.8260869565217391,-0.033496681193719756,-0.6765615067935075,-0.7999597739456867,-0.009681047683446194,-0.014398756750137484,49,7,115,13,55,141,6,1,1,4,4,9,7,6,4,1,5
1,0,1,1,0,0,0,13.0,0.3977090032154347,1.069767441860465,0.8260869565217391,0.6874976954125797,-0.6765615067935075,-0.7999597739456867,-0.009681047683446194,-0.014398756750137484,49,7,30,165,76,183,6,1,9,11,4,9,7,6,4,3,5
1,0,0,0,0,0,0,27.0,0.022709003215434235,1.069767441860465,0.8260869565217391,-0.13554411990882287,1.6125628160672922,1.3324585631576666,-0.009681047683446194,-0.014398756750137484,62,7,356,266,16,17,1,2,5,3,3,10,7,1,3,2,5
1,0,0,0,0,0,0,33.0,-0.47729099678456577,1.069767441860465,0.8260869565217391,-0.4149883676522254,0.5105920190080067,0.9613414204506701,2.0497975206655346,1.8581598184932973,49,7,182,426,10,19,2,2,12,18,0,4,7,2,0,2,5
0,0,0,0,0,0,0,40.0,0.6477090032154349,1.069767441860465,0.8260869565217391,-0.6957335977888723,1.2625023047102046,1.3324585631576666,2.061825996922973,1.8824089170959277,164,7,185,194,76,136,4,2,9,11,5,6,7,4,5,3,5
1,0,0,0,0,0,0,9.0,-0.3522909967845656,1.069767441860465,0.8260869565217391,0.9752134883580089,-0.6765615067935075,-0.7999597739456867,-0.009681047683446194,-0.014398756750137484,49,7,360,420,18,46,6,1,17,11,4,9,7,6,4,2,5
1,0,0,0,1,0,0,11.0,0.7727090032154346,1.069767441860465,0.8260869565217391,0.8280775978705571,0.21164650619442762,0.08815978331154549,-0.009681047683446194,-0.014398756750137484,49,7,268,267,35,129,5,1,17,11,4,9,7,5,4,3,5
1,0,0,1,0,0,0,7.0,1.022709003215435,1.069767441860465,0.8260869565217391,1.1292041406050182,-0.6765615067935075,-0.7999597739456867,-0.009681047683446194,-0.014398756750137484,49,7,25,428,76,171,6,1,27,11,4,9,7,6,4,3,5
0,0,0,0,0,0,0,58.0,-0.2272909967845655,1.069767441860465,0.8260869565217391,-1.239496730691907,0.5105920190080067,0.9613414204506701,-0.009681047683446194,1.8372815249332315,57,7,309,281,74,167,2,4,16,16,10,0,7,2,10,2,5
